date,close
2026-04-14,36296.12
2026-04-15,36722.14
2026-04-16,37132.02
2026-04-17,36804.34
2026-04-20,36958.8
2026-04-21,37605.11
2026-04-22,37878.47
2026-04-23,37714.15
2026-04-24,38932.4
2026-04-27,39616.63
2026-04-28,39521.73
2026-04-29,39303.5
2026-04-30,38926.63
2026-05-04,40705.14
2026-05-06,40769.29
2026-05-07,41933.78
2026-05-08,41603.94
2026-05-11,41790.06
2026-05-12,41898.32
2026-05-13,41374.5
2026-05-14,41751.75
2026-05-15,41172.36
2026-05-18,40891.82
2026-05-19,40175.56
2026-05-20,40020.82
2026-05-21,41368.21
2026-05-22,42267.97
2026-05-25,43644.4
2026-05-27,44256.8
2026-05-28,43636.44
2026-05-29,44732.94
2026-06-01,45337.91
2026-06-02,45557.31
2026-06-03,46459.16
2026-06-04,45677.46
2026-06-05,45070.94
2026-06-08,43502.78
2026-06-09,44704.44
2026-06-10,43225.54
2026-06-11,43149.46
2026-06-12,44169.04
2026-06-15,45396.99
2026-06-16,45809.19
2026-06-17,45877.39
2026-06-18,46465.2
2026-06-22,47741.51
2026-06-23,47100.65
2026-06-24,46043.6
2026-06-25,46255.26
2026-06-26,44571.76
2026-06-29,44999.9
2026-06-30,46125.91
2026-07-02,46744.16
2026-07-03,46780.62
2026-07-06,46556.39
2026-07-07,45479.11
2026-07-08,45734.41
2026-07-09,45354.61
2026-07-13,45380.52
2026-07-14,44737.95
2026-07-15,45631.59
2026-07-16,45624.98
2026-07-17,42671.27
2026-07-20,42449.7
2026-07-21,44232.87
2026-07-22,44825.78
2026-07-23,44850.81
2026-07-24,43654.84
2026-07-27,43634.19
2026-07-28,41603.36
2026-07-29,40039.18
2026-07-30,39933.3
2026-07-31,43119.75
2026-08-03,43386.41
2026-08-04,43360.66
